"text","label","document","year","annotator"
"„Die in Deutschland praktizierte Form der Corporate Governance bietet zentrale Voraussetzungen dafür, es besser zu machen.",0,529031,"2013",SamanthaHTest
"So lässt sich an keiner anderen Entzündungskrankheit – wie Gelenkrheuma oder Multiple Sklerose – einfacher als an Schuppenflechte studieren, wie Krankheits- oder Heilungsprozesse voranschreiten.",1,441462,"2011",SamanthaHTest
"Die jüngste Prognose, die sich streng an die Regel des Modells hält, berücksichtigt den Durchschnitt der Kanzlerpopularität im Juli und August.",0,51950,"2002",SamanthaHTest
Die Umsetzung der Empfehlungen als Leitplanken für den universitären Wettbewerb lässt eine große Dynamik für die Spitzenforschung in der Bundesrepublik erwarten.,1,645206,"2016",SamanthaHTest
"Die beste Übereinstimmung zeigen die tropischen Rekonstruktionen, die im Unterschied zu früheren Daten auf ausgeprägte Unterschiede zwischen Atlantik, Indik und Pazifik schließen lassen sowie auf eine jeweils stärkere Abkühlung auf der Ostseite hindeuten.",0,296984,"2009",SamanthaHTest
"Die öffentliche Debatte um die Fairness der ausgewählten Qualitätsindikatoren wird zudem das interne Qualitätsmanagement in den Systemen erheblich fördern.""",1,75882,"2004",SamanthaHTest
"Diese Informationslücken fallen umso schwerer ins Gewicht, als geringe Informiertheit das Stimmverhalten und den Ausgang des Volksentscheids beeinflussen kann.",0,373678,"2010",SamanthaHTest
"„Wir plädieren für eine Distanzierung von der Vorstellung, dass Kreativität und Genialität ‚fremdartig’ sind,“ sagte Professor Haslam.",0,556681,"2013",SamanthaHTest
"Das Pilotprojekt ""Szenarien für mehr Selbstverantwortung und Wahlfreiheit im Gesundheitswesen"" ist mit finanzieller Unterstützung durch das Sozialministerium Baden-Württemberg, der Landesärztekammer Baden-Württemberg und der Gottlieb Daimler- und Karl Benz-Stiftung zustande gekommen.",0,57215,"2002",SamanthaHTest
"„In diesen Gesellschaften scheint der Aufsichtsrat seine Überwachungsfunktion eher an den gesetzlichen Mindeststandards auszurichten.“ So verfügen alle der gemessen am AUFSICHTSRATS-SCORE schwächsten 13 MDAX-Unternehmen über einen dominierenden Großaktionär, der zwischen 25 Prozent (Aurubis) und 100 Prozent (Jungheinrich) der Stimmrechte kontrolliert.",0,643021,"2015",SamanthaHTest
"Um diese zu erschließen, müssten die kompetenzbezogenen und thematischen Schnittmengen zwischen den Clustern in Mitteldeutschland gezielt identifiziert und genutzt werden.",3,463161,"2012",SamanthaHTest
"Um diese Forschung voranzutreiben und inhaltlich weiterzuentwickeln, wurde im April 2010 die Strategische Partnerschaft »Produktivität von Dienstleistungen« ins Leben gerufen.",0,531188,"2013",SamanthaHTest
"Dies gilt selbst unter Berücksichtigung der Rolle von Selektionseffekten, die sich dadurch ergeben können, dass ohnehin besser integrierte Migranten häufig eine höhere Einbürgerungsbereitschaft mitbringen, also nicht erst durch den neuen Pass auf den Erfolgsweg geführt werden.",1,624783,"2015",SamanthaHTest
"Nur so jedoch koennen Erfolge erlebt werden, die zu weiterer Anstrengung motivieren.",1,12696,"1999",SamanthaHTest
"In dieser Absicht wollen sie im eigenen Herrschaftsgebiet eine reine und strenge Version des Islam verwirklichen, dem Leben der sunnitischen Gläubigen einen Sinn geben, die Sharia mit dem Schwert durchsetzen und als Führer des Islam anerkannt werden.",0,642209,"2015",SamanthaHTest
"Während bei der reinen Nutzung IT-gestützte Buchhaltung und IT-gestütztes Controlling ganz oben stehen, stufen nur knapp 30 Prozent der Unternehmen ihre Bedeutung für Auslandsaktivitäten als hoch ein.",0,168604,"2006",SamanthaHTest
"Weitere Informationen: <www.diejungeakademie.de/publikationen/magazin/heft9> Ansprechpartner: Dr. Tobias Jentsch, Geschäftsstelle der Jungen Akademie, Tel.",0,299845,"2009",SamanthaHTest
"Welche Hilfe wann und vor allem durch wen geleistet wird, kann so individuell bestimmt werden.",0,124368,"2005",SamanthaHTest
"In nur zwei Wochen haben das Fraunhofer FKIE und das THW gemeinsam der Rettungsspinne Einsatzmöglichkeiten erschlossen, die vorher nicht oder nur schwer möglich schienen.",1,573510,"2014",SamanthaHTest
"„In den Großunternehmen sank dagegen zwischen 2001 und 2009 die Nettobeschäftigung um 1,2 %.",0,534515,"2013",SamanthaHTest
Wie ist nachhaltiges Wirtschaften machbar?,0,68360,"2003",SamanthaHTest
"Nutzer könnten ihre Zustimmung geben, bis zu 10-20 % ihrer Rechnerleistung zur Verfügung zu stellen, ohne dass sich dies nachteilig auf die Leistung ihrer Computer auswirken würde.",3,631033,"2015",SamanthaHTest
"Mehr Unterstützung für Immobilienkäufer Die Politik sei gefordert, Bedingungen für eine größere Zufriedenheit von Mietern und Wohneigentümern zu schaffen, stellt Prof. Dr. Brettschneider fest.",0,630227,"2015",SamanthaHTest
"Die Resultate der Forschungsgruppe geben Aufschluss über die räumliche und zeitliche Regulation von Signalwegen, die es Zellen möglich machen, in eine bestimmte Richtung zu migrieren.",0,606446,"2014",SamanthaHTest
Die Ergebnisse sind ab sofort in gedruckter Form als Produktivitätsleitlinien verfügbar.,0,531188,"2013",SamanthaHTest
"Ziel des BMBF-Förderprojekts ""Unabhängige Forschergruppen in den Neurowissenschaften"" ist es, die Karrierechancen von Frauen in den Neurowissenschaften zu erhöhen.",0,272947,"2008",SamanthaHTest
Fußball vereint: junge Frauen und Männer im WM-Fieber Die aktuelle Erhebung untersucht zusätzlich den Einfluss der Fußballweltmeisterschaft auf die Stimmung in Deutschland.,0,592837,"2014",SamanthaHTest
"Die molekularen Ursachen der Thermostabilität von Proteinen liegen allerdings noch weitgehend im Dunkeln, da sich homologe Proteine aus mesophilen und thermophilen Organismen meist sehr stark in ihrem Aufbau, d. h. in ihrer Aminosäuresequenz unterscheiden.",1,21425,"2000",SamanthaHTest
Das Testsystem kann an verschiedene Treiberlaser angepasst werden und so eine große Bandbreite an Applikationsparametern bereitstellen.,0,633037,"2015",SamanthaHTest
Lore Funk und Wenka Wentzel formulieren auf dieser Grundlage Praxisempfehlungen: Initiativen zur weiblichen Nachwuchskräftegewinnung im MINT-Bereich sollten die vielfältigen Erwartungen der Mädchen an ihre berufliche Zukunft widerspiegeln.,1,600863,"2014",SamanthaHTest
"Wie sich das für die rationale und effiziente Entwicklung neuer Medikamente nutzen lässt, wird auf dem Workshop diskutiert.",0,441462,"2011",SamanthaHTest
Volkskundlerin Hänel hat alle Ausgaben gesichtet und die wichtigsten Artikel hinsichtlich Wortwahl und Inhalt analysiert.,0,70274,"2003",SamanthaHTest
"Ihre Integrationslösungen, die auf der Virtual-Reality-Technologie basieren, lassen sich in allen mit 3D-Konstruktion befassten Unternehmen einsetzen, würdigte die Jury die Leistung der zukünftigen Jungunternehmer in ihrer Begründung.",0,33591,"2001",SamanthaHTest
Denn in diesem komplexen Umfeld lassen sich mit dem System zum Beispiel Trainingsszenarien optimal durchführen: So kann ein Ausbilder mit Hilfe des dreidimensional visualisierten Schiffsmodells völlig gefahrlos einen Havariefall für die Kursteilnehmer simulieren.,1,33591,"2001",SamanthaHTest
Darüber hinaus hat auch die regionale Raumplanung großen Einfluss auf den Standort der Windkraftanlagen.,0,597650,"2014",SamanthaHTest
"Deshalb entwickelten die Forscher des Fraunhofer-Instituts für System- und Innovationsforschung ISI zwei Szenarien für die Zukunft erneuerbarer Energieträger: eines BAU (Business As Usual) genannt, das auf der aktuellen Politik basiert und ein zweites ADP (Accelerated Deployment Policies), das eine stärkere Förderung erneuerbarer Energien annimmt.",0,318659,"2009",SamanthaHTest
"Diese Modellvorstellungen sind sicher eine Grundlage, neuartige Therapiemodalitäten zu erforschen, damit Tumorstammzellen als Quelle von Rezidiven und Metastasen erfolgreich ausgeschaltet werden können.",1,521587,"2013",SamanthaHTest
"Der Titel lautet: ""Your amazing immune system: how it protects your body"".",1,332897,"2009",SamanthaHTest
"„Dafür sind weitere umfangreiche Berechnungen erforderlich, die vielleicht sogar zu dem Ergebnis führen werden, dass der Wert weit oberhalb von 7 liegt“, erklärt der Wirtschaftsmathematiker Dr. Sascha Kurz.",0,635584,"2015",SamanthaHTest
"Im Kern geht es darum, Dienstleistungsproduktivität zu verstehen, zu messen und zu gestalten.",0,531188,"2013",SamanthaHTest
Besonders gut wird die Erreichbarkeit der Lehrenden und deren Beratung wahrgenommen: 82 Prozent der Teilnehmerinnen und Teilnehmer geben hier ein positives Urteil ab.,0,632466,"2015",SamanthaHTest
"Viele dieser Zusammenhänge seien zwar höchstwahrscheinlich, vermutet Höglinger, ""bislang konnte sie aber niemand beweisen.""",3,148243,"2006",SamanthaHTest
Ohne sie geht in vielen Forschungsbereichen nichts mehr.,1,464865,"2012",SamanthaHTest
"Die ersten Auswertungen der Interviews mit den Neunzehnjährigen bestätigen, dass in beiden Kulturen Vertrauen und Intimität zwar wichtig bleiben, dass aber zugleich gesehen wird, dass Freundschaften in ein Netz aus anderen Beziehungen eingebettet sind und Raum für die Entfaltung von Individualität lassen müssen.",0,53001,"2002",SamanthaHTest
"Eine EU-Studie belegt, dass der Niedriglohnanteil in Deutschland bereits im Jahr 2000 erstmals über dem EU-Durchschnitt lag.",1,142462,"2006",SamanthaHTest
"Zum Vergleich: Im europäischen Durchschnitt lag diese bei 7,5 % und OECD-weit bei 5,4 %.",3,547677,"2013",SamanthaHTest
Bei Autoimmunkrankheiten angewandt erkennen und neutralisieren die Immunglobuline krankmachende Antikörper und unterdrücken entzündungsfördernde Stoffe im Gewebe.,0,191915,"2007",SamanthaHTest
"Die etwas geringere Neigung zur Unternehmensgründung in Baden-Württemberg ist für die Ex-perten allerdings noch kein Alarmsignal: Wesentlich für die von den jungen Unternehmen erhofften Impulse für den regionalen Arbeitsmarkt und den Strukturwandel ist für die Wissenschaftler, ob die Firmen überleben und wachsen.",0,12332,"1999",SamanthaHTest
"Auf der Basis ihrer Ergebnisse erstellen die Forscher nun ein Computermodell des Bienengehirns, das virtuelle Düfte mit einer Belohnung assoziieren und auf der Basis des Erlernten Entscheidungen treffen können soll.",0,411024,"2011",SamanthaHTest
"Leitlinien zur Förderung von Ökosystemleistungen Das Politikpapier definiert sieben Leitlinien für die Sicherung und Förderung von Ökosystemleistungen in Kulturlandschaften und zeigt auf, wie diese in dem in Deutschland bestehenden Politikgefüge konkretisiert und implementiert werden können.",0,533748,"2013",SamanthaHTest
"Die MARGO-Projektmitglieder, ein internationaler Zusammenschluss der nächsten Generation von Experten auf dem Gebiet der Klimarekonstruktion, haben nun die längst fällige globale Überarbeitung vorgelegt.",1,296984,"2009",SamanthaHTest
"Die Quellen seines Forschungsinteresses sieht Fritz Melchers in der Kreativität, die der Kunst wie der Wissenschaft eigen sei, und im Staunen über das Entdeck-te.",0,184764,"2006",SamanthaHTest
"Heute werden Schutzgebiete dort ausgeschieden, wo seltene Arten vorkommen und wo die Lebensraumvielfalt und somit die Artenzahl besonders hoch ist.",0,498223,"2012",SamanthaHTest
"DATENMENGEN IM DETAIL ANALYSIEREN UND SYSTEMATISCH AUFBEREITEN Die Märkische Fachhochschule Iserlohn, Standort Hagen, stellte geeignete Methoden und Softwareprodukte vor, mit deren Hilfe Unternehmen ihre Datenmengen im Detail analysieren und systematisch aufbereiten können.",0,27629,"2000",SamanthaHTest
In kurzen Beiträgen berichten die verschiedenen Institutionen - staatliche und nichtstaatliche Einrichtungen - über ihre wichtigsten Aktivitäten und größten Erfolge im zurückliegenden Jahr.,1,477839,"2012",SamanthaHTest
„Am Beispiel des Strontiumtitanats konnten mithilfe einer pyroelektrischen Messmethode die dynamischen defektchemischen und physikalischen Transportprozesse in externen elektrischen Feldern auf atomarer Skala studiert werden.,0,624936,"2015",SamanthaHTest
"Über den Marktmonitor Immobilien 2015 Der Marktmonitor Immobilen 2015 ist eine repräsentative Studie von immowelt.de und Prof. Dr. Stephan Kippes, Inhaber der Professur für Immobilienmarketing und Maklerwesen an der Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen (HfWU).",0,635265,"2015",SamanthaHTest
Das überzeugt: Mit 152.000 Mitgliedern ist der VDI die größte Ingenieurvereinigung Deutschlands.,0,584033,"2014",SamanthaHTest
"Aber wir wissen natürlich noch nicht, wie sich die Kampagnen in der heißen Wahlkampfphase entwickeln werden.",3,373678,"2010",SamanthaHTest
"> Das Fraunhofer-Institut für System- und Innovationsforschung ISI untersucht Chancen technischer Entwicklungen und deren Auswirkungen auf Wirtschaft, Staat, Gesellschaft und Umwelt.",0,221444,"2007",SamanthaHTest
"Weitere Informationen: Dr. Thomas Gschwend Mannheimer Zentrum für Europäische Sozialforschung (MZES)	Universität Mannheim 68131 Mannheim 0621.181.2809 (voice) 0621.181.2845 (fax) Thomas.Gschwend@mzes.uni-mannheim.de http://www.sowi.uni-mannheim.de/lehrstuehle/lspol1/gschwend.htm Prof. Dr. Helmut Norpoth Department of Political Science State University of New York at Stony Brook Stony Brook, NY 11790 001.631.632.7640 (voice) 001.631.632.4116 (fax) Helmut.Norpoth@sunysb.edu http://www.sunysb.edu/polsci/ Thomas Gschwend und Helmut Norpoth, ""Wenn am nächsten Sonntag ...: Ein Prognosemodell für Bundestagswahlen,"" in Wahlen und Wähler: Analysen aus Anlass der Bundestagswahl 1998, Max Kaase und Hans-Dieter Klingemann [Hg.], Opladen: Westdeutscher Verlag, 2001, 471-500.",0,50348,"2002",SamanthaHTest
"Die ""Magdeburger Alternative"" weist nach der IMK/WSI-Analyse wiederum so schwerwiegende methodische Probleme auf, dass die positiven Prognosen über 1,8 Millionen zusätzliche Arbeitsplätze und einen fiskalischen Nettogewinn nicht nachvollziehbar sind.",3,151995,"2006",SamanthaHTest
Die Augsburger Projektbeteiligten steuerten darüber hinaus auch die entsprechende echtzeitfähige Betriebssystemsoftware bei.,0,401466,"2010",SamanthaHTest
"Mit einem Niedriglohnsektor für Ungelernte kann das amerikanische Beschäftigungswunder in Deutschland nicht kopiert werden, weil das ""passende"" Arbeitskräfteangebot fehlt.",1,13456,"1999",SamanthaHTest
"Hier wünschten sich die meisten Händler mehr Nachhaltigkeit bei Verpackungslösungen (67 Prozent), Innovationen (56 Prozent) sowie die Zertifizierung von Nachhaltigkeitsaktivitäten (47 Prozent).",0,626912,"2015",SamanthaHTest
"Die Autorinnen Lore Funk und Wenka Wentzel setzen sich in ihren Untersuchungen mit den Wünschen, Werten und Berufsvorstellungen junger Frauen auseinander.",0,600863,"2014",SamanthaHTest
"Im Projekt wurde in einem Verbund aus Industrie und Forschung eine technische Plattform entwickelt, auf der zukünftig Betreiber von Marktplätzen von internetgestützten Dienstleistungen aufbauen können, um für konkrete Anwendungsfälle Marktplätze zu etablieren, der die Integration von Diensten und Apps sowohl für Dienstanwender als auch für Dienstanbieter ermöglicht.",0,594324,"2014",SamanthaHTest
Die frei zugängliche Veröffentlichung umfasst auch 10 Patientenanhänge und 2 Videosequenzen.,0,284525,"2008",SamanthaHTest
"Der Fokus der Untersuchungen lag nicht nur auf Bereichen, die typischerweise mit dem Tanzen in Verbindung gebracht werden, wie Stand-, Körperhaltung und Reaktionszeit, sondern auch auf der Motorik, Sensorik, Aufmerksamkeit, Denk- Merkfähigkeit, sowie der subjektiven Lebenszufriedenheit und der Leistungsfähigkeit des Herz-Kreislaufsystems.",0,520842,"2013",SamanthaHTest
Diskutiert wurde auch die Rolle der Projektförderung und Programmsteuerung im Innovationsprozess.,0,74604,"2004",SamanthaHTest
"Ihre Ansprechpartner dazu: Dr. Boris Augurzky, Tel.",0,72019,"2003",SamanthaHTest
Diese Forschungsergebnisse unterstreichen die Bedeutung von Kombinationstherapien bei der Behandlung von Krebspatientinnen und -patienten.,1,588450,"2014",SamanthaHTest
"Dienstleistungen in hybriden Leistungsbündeln Die reine Sachleistung - Unternehmen X stellt ein Produkt Y her und liefert es aus - ist auf dem Rückzug, gefragt sind heutzutage auch Dienstleistungen rund um das fertige Produkt.",1,261965,"2008",SamanthaHTest
"Daneben erfülle der Wald weitere Schutzfunktionen, wie den Erosions- oder Lawinenschutz und diene zusätzlich dem Menschen als Erholungs- und Erlebnisraum.",0,306430,"2009",SamanthaHTest
"In den südeuropäischen Ländern variiert der Mindestlohn zwischen 2,82 und 4,22 Euro, während die Mindestlöhne in den mittel- und osteuropäischen Ländern zwischen 0,53 und 1,76 Euro liegen.",0,191962,"2007",SamanthaHTest
Neue Impfstoffe und Zelltherapeutika sollen genau diesen Mechanismus nutzen – aber noch ist vieles über die Arbeitsweise dieses „James Bond des Immunsystems“ unbekannt.,1,645813,"2016",SamanthaHTest
"Die Bundesregierung solle sich im Rahmen ihrer EU-Präsidentschaft für die Entwicklung einer europäischen Mindestlohnpolitik stark machen, die auf eine koordinierte Mindestlohnnorm abzielt, empfiehlt der WSI-Tarifexperte Dr. Thorsten Schulten.",0,191962,"2007",SamanthaHTest
Nach der flächendeckenden Einführung der OP-Sicherheits-Checklisten auf Initiative der Chirurgischen Fachgesellschaft rückt jetzt die Vermeidung postoperativer Wundinfektionen in den Vordergrund.,0,322034,"2009",SamanthaHTest
"Defizite bestehen insbesondere bei der klinischen Forschung sowie bei der Überführung in die Kostenerstattung durch die Gesetzliche Krankenversicherung, eine wichtige Voraussetzung für die breite Nutzung innovativer Technik in der Gesundheitsversorgung.",0,323164,"2009",SamanthaHTest
"""Unsere Forschung zeigt, dass sich Personen spontan mit den Models vergleichen, die Ihnen aus der Werbung entgegen lachen.",0,361714,"2010",SamanthaHTest
"Simulationsstudie Maßgeblich für die Überzeugungskraft der Ergebnisse ist die Tatsache, dass sie sich auch in simulierten Gerichtsprozessen bewährt haben.",1,141418,"2005",SamanthaHTest
"Im Bereich der Forschung wird insbesondere die Frage der Steuerung und Gestaltung von Dienstleistungsprozessen im Vordergrund stehen: organisatorische Gestaltung und Koordination von Dienstleistungsprozessen, Steuerung von Dienstleistungsprozessen mit Hilfe von Kennzahlen, Steuerung von Dienstleistungsunternehmen mit Hilfe von Produktions- und Transaktionskosten.",0,21728,"2000",SamanthaHTest
"· Ein ausgebauter Sozialstaat kann nicht zugleich ein ""billiger"" Staat ein.",1,18056,"2000",SamanthaHTest
"Zum europäischen Tag der Agrobiodiversität erklärt das BfN: Fortschritte im Erhalt der biologischen Vielfalt können Naturschutz und Landwirtschaft nur gemeinsam erreichen Bonn, 28. September 2007: Nach Ansicht der Experten des Bundesamtes für Naturschutz (BfN) ist der Schutz der Agrobiodiversität eine der wichtigen Aufgaben des Naturschutzes in Deutschland und Europa.",0,227776,"2007",SamanthaHTest
"Deshalb ist davon auszugehen, dass auch die Stimmung hinsichtlich der Zukunft Deutschlands wieder deutlich zuversichtlicher wird, sobald sich eine tragfähige Lösung für die Schuldenkrise abzeichnet.“ Insgesamt zeigen die Ergebnisse für die Wirtschaft im monatlichen Verlauf des ersten Quartals 2012 nach größeren Schwankungen in den letzten beiden Jahren eine Stabilisierung – wenn auch auf leicht sinkendem Niveau: Im Januar 2012 lag der Wirtschaftswert bei 37 Prozent, im Februar bei 35 Prozent und im März bei 34 Prozent.",1,469049,"2012",GabyH
"Dies ist allerdings nicht nur ein akademisch wichtiger Meilenstein, sondern bestätigt, welches Potenzial diese besondere Art von optischer Faser aufweist, dem sich das Wissenschaftlerteam vom Photonic Communications Lab verschrieben hat.",2,608398,"2014",EvaG
"Es erleichtert den aktiven, barrierefreien Zugang für Menschen mit besonderen Bedürfnissen und ermöglicht die serverseitige Personalisierung von Interaktion, Präsentation und Inhalten - bis hin zur Anbindung von PDAs und Mehrsprachigkeit.",0,59826,"2003",EvaG
"Professor Ibriszimow: ""Dies führt im sogenannten Medienzeitalter zu echter Lesemotivation bei den Studierenden, die so zu wissenschaftlich versierten Lesern und Analytikern werden können.""",1,67025,"2003",EvaG
Darüber hinaus ist eine hohe Kompetenz in den klassischen Instrumenten des Projektmanagements unerlässlich für Effizienz und Effektivität.,1,72014,"2003",EvaG
Damit waren insbesondere die Verbesserungen der Motorik deutlich besser als in allen bislang durchgeführten Studien zu Hirnschrittmachern bei Morbus Parkinson.,2,539055,"2013",EvaG
"Gesteuert werden sollen die einzelnen Bereiche der Holding, in der Regel Lehrstühle oder so genannte ""Areas"", über Zielvereinbarungen.",0,52237,"2002",EvaG
"Am optimistischsten in den östlichen Bundesländern sind die Bürger in Mecklenburg- Vorpommern (54%), dicht gefolgt von den Brandenburgern (50%).",0,236723,"2007",GabyH
"Fiberio erlaubt es beispielsweise in Banken allen Mitarbeitern, Kundendaten einzusehen.",0,566055,"2013",GabyH
Bei diesen hätte ein auch mit Arbeitnehmervertretern besetzter Aufsichtsrat festgestellt werden müssen.,0,636446,"2015",GabyH
Dies ist als eine der zentralen Aufgaben der Strahlenschutzforschung anzusehen.,1,75785,"2004",GabyH
"Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI) GmbH Kaiserslautern und Saarbrücken, 27. September 2001 Deutscher Zukunftspreis 2001 - Preis des Bundespräsidenten für Technik und Innovation Am 29. November 2001 verleiht Bundespräsident Johannes Rau den Deutschen Zukunftspreis 2001 - Preis des Bundespräsidenten für Technik und Innovation - im Max Delbrück Kommunikationszentrum in Berlin.",0,39271,"2001",GabyH
"Rund zwei Drittel von ihnen geben an, dass die eigenen vier Wände sie glücklicher machen.",0,630227,"2015",GabyH
"Das Leistungsspektrum des ausgewiesenen Dienstleisters für Ministerien, Verbände und Unternehmen umfasst Forschungsförderung, Innovationsbegleitung und Innovationspolitik.",0,634555,"2015",GabyH
"Peggy Gerullis, die am Lehrstuhl für Tierphysiologie der Universität Bayreuth promoviert.",0,602027,"2014",GabyH
"Erfolgsabhängige Vergütungen belohnten bisher Eigeninitiative, Engagement und den Einsatz unternehmerischer Fähigkeiten.",0,58823,"2003",GabyH
"Die Weiterbildungsbranche scheint bislang, im Gegensatz zu anderen Branchen, nur partiell von der Wirtschaftskrise negativ betroffen zu sein und in Teilen sogar zu profitieren.",3,340010,"2009",GabyH
Beispiele für Best-Practice-Projekte finden sich dabei auch in Österreich.,0,438668,"2011",GabyH
"Eine grundlegend neue Belastungskonstellation ist entstanden, die durch zunehmende Leistungsverdichtung, die Paradoxien neuer Managementkonzepte, eine Veränderung der betrieblichen Sozialordnungen und eine generelle Zunahme von Unsicherheiten geprägt ist.",1,337272,"2009",GabyH
"*	In der Mehrzahl der europäischen Länder gibt es - parallel zu tarifvertraglichen Regelungen - gesetzliche Mindestlöhne, die nachweislich positive Wirkungen auf das Einkommensniveau aufweisen und keine Gefährdung der Arbeitsplätze bewirkt haben.",0,76420,"2004",GabyH
: 03641/945201 E-Mail: svs@uni-jena.de Friedrich-Schiller-Universität Jena Dr. Wolfgang Hirsch Referat Öffentlichkeitsarbeit Fürstengraben 1 D-07743 Jena Telefon: 03641 · 931030 Telefax: 03641 · 931032 E-Mail: roe@uni-jena.de,0,38164,"2001",GabyH
"Die neue Publikation der SATW «Wie soll Strom aus erneuerbaren Energien gefördert werden?» will auf diese Frage eine Antwort geben, indem sie verschiedene Förderinstrumente für erneuerbare Energien im Strombereich vergleicht.",0,495057,"2012",GabyH
"Fast zeitgleich erschien im Fachjournal Brain eine Arbeit, an der Günter Höglinger und Nils Freundlieb ebenfalls maßgeblich beteiligt waren.",0,148243,"2006",GabyH
"IAB sieht Risiko der Niedriglohnarmut Angesichts der in Deutschland abnehmenden Chancen der Geringverdiener, den Niedriglohnbereich zu verlassen, sehen die IAB-Forscher ein wachsendes Risiko der Niedriglohnarmut.",1,104206,"2005",GabyH
"G-BA beschließt über Ausmaß des Zusatznutzens Diese Dossierbewertung ist Teil der frühen Nutzenbewertung gemäß Arzneimittelmarktneuordnungsgesetz (AMNOG), die der G-BA verantwortet.",0,646949,"2016",GabyH
"Bochum, 20.10.1999 Nr. 242 Image von Gefängnissen stark ramponiert Abschreckung statt Resozialisierung im Trend Bochumer Langzeitstudie zur Einstellung der Bevölkerung Resozialisierung ist für nur noch rund 41,3 % der Bevölkerung in Bochum die primäre Aufgabe der Strafvollzuges; 1975 sahen immerhin 61,2 % darin das erste Ziel, 1987 stimmten noch 47,5 % dem zu.",1,14877,"1999",GabyH
Über die Bertelsmann Stiftung: Die Bertelsmann Stiftung versteht sich als Förderin des Wandels für eine zukunftsfähige Gesellschaft.,1,140777,"2005",GabyH
Die Bewerbung der Dresdner Forscher basiert auf dem Projekt „Entwicklung zellbasierter humaner Modelle zur Erforschung retinaler Erkrankungen am Beispiel der Juvenilen Neuronalen Ceroid Lipofuszinose (JNCL)”.,0,629788,"2015",GabyH
Diese positiven Erfahrungen sollten bei der anstehenden Novellierung des EEG berücksichtigt werden.,3,575663,"2014",GabyH
- Eine Verbesserung rechtlicher Rahmenbedingungen wie z.B. ein effektiver Rechtsschutz im Ausland trägt zu mehr Rechtssicherheit bei.,0,454801,"2011",GabyH
"Die Mehrheit der Neuronen bestimmt auf demokratische Weise, welcher Entscheid getroffen wird.",0,301565,"2009",GabyH
